"tag","freq"
"<U+FFFD>",608034
"<U+2033>",605
"<U+FEFF>",359
"<U+0435>",355
"<U+0430>",325
"<U+043E>",302
"<U+306E>",302
"<U+1E63>",271
"<U+2665>",259
"<U+1E47>",258
"<U+3044>",218
"<U+3001>",216
"<U+3002>",200
"<U+3057>",194
"<U+1E5B>",193
"<U+305F>",193
"<U+3067>",179
"<U+306B>",168
"<U+3068>",165
"<U+306F>",159
"<U+3066>",157
"<U+307E>",143
"<U+0456>",138
"<U+03BF>",133
"<U+306A>",132
"<U+03BD>",121
"<U+3059>",119
"<U+308B>",115
"<U+0455>",113
"<U+0438>",111
"<U+304C>",111
"<U+30FC>",107
"<U+3063>",105
"<U+3082>",99
"<U+25CF>",98
"<U+0441>",97
"<U+3092>",94
"<U+304B>",87
"<U+308C>",80
"<U+30F3>",80
"<U+03C1>",79
"<U+308A>",77
"<U+03C2>",76
"<U+03B9>",74
"<U+05D9>",73
"<U+0440>",72
"<U+3089>",71
"<U+0442>",70
"<U+3093>",70
"<U+1E25>",69
"<U+3046>",67
"<U+30EB>",66
"<U+05D5>",65
"<U+4EBA>",65
"<U+0443>",63
"<U+65E5>",63
"<U+043D>",56
"<U+1E41>",52
"<U+3053>",52
"<U+03BA>",51
"<U+304F>",51
"<U+05D4>",50
"<U+30EA>",50
"<U+30C8>",49
"<U+3042>",47
"<U+FFFC>",47
"<U+043B>",46
"<U+3060>",46
"<U+7684>",44
"<U+79C1>",44
"<U+043A>",43
"<U+30B9>",42
"<U+304D>",41
"<U+30A2>",41
"<U+30C3>",40
"<U+0432>",39
"<U+305D>",39
"<U+03BB>",38
"<U+3055>",37
"<U+30E9>",37
"<U+05E8>",36
"<U+3088>",36
"<U+3051>",35
"<U+3061>",35
"<U+2605>",34
"<U+672C>",33
"<U+05EA>",32
"<U+200B>",32
"<U+03B3>",31
"<U+0092>",30
"<U+05E2>",30
"<U+1E0D>",30
"<U+30B8>",30
"<U+03AF>",29
"<U+05E9>",29
"<U+2015>",29
"<U+3084>",29
"<U+30BF>",29
"<U+4E00>",29
"<U+F0A7>",29
"<U+0434>",28
"<U+0437>",28
"<U+05DE>",28
"<U+304A>",28
"<U+30AF>",28
"<U+30B0>",28
"<U+30B7>",28
"<U+F0D8>",28
"<U+1E6D>",27
"<U+3081>",27
"<U+05DC>",26
"<U+2666>",26
"<U+03C5>",25
"<U+305B>",25
"<U+3069>",25
"<U+308F>",25
"<U+30A4>",25
"<U+03C9>",24
"<U+03AC>",23
"<U+043F>",23
"<U+044F>",23
"<U+6642>",23
"<U+03AD>",22
"<U+03B8>",22
"<U+05D1>",22
"<U+05D3>",22
"<U+307F>",22
"<U+30AB>",22
"<U+6211>",22
"<U+044B>",21
"<U+044C>",21
"<U+05D0>",21
"<U+30A3>",21
"<U+30EC>",21
"<U+601D>",21
"<U+043C>",20
"<U+30C7>",20
"<U+6709>",20
"<U+898B>",20
"<U+0627>",19
"<U+263A>",19
"<U+3048>",19
"<U+3064>",19
"<U+6708>",19
"<U+884C>",19
"<U+03B7>",18
"<U+0439>",18
"<U+30AD>",18
"<U+30DE>",18
"<U+30ED>",18
"<U+4E8B>",18
"<U+4ECA>",18
"<U+9593>",18
"<U+0431>",17
"<U+306D>",17
"<U+308D>",17
"<U+30B3>",17
"<U+30BA>",17
"<U+30D6>",17
"<U+4E0D>",17
"<U+611F>",17
"<U+FB01>",17
"<U+017F>",16
"<U+05E0>",16
"<U+0644>",16
"<U+1FE6>",16
"<U+200E>",16
"<U+3058>",16
"<U+30CB>",16
"<U+30D7>",16
"<U+30E7>",16
"<U+5927>",16
"<U+03AE>",15
"<U+03CC>",15
"<U+0421>",15
"<U+0433>",15
"<U+05DF>",15
"<U+1F78>",15
"<U+25BA>",15
"<U+314B>",15
"<U+4E2D>",15
"<U+5BB6>",15
"<U+05DB>",14
"<U+05E4>",14
"<U+30E1>",14
"<U+30E3>",14
"<U+5165>",14
"<U+524D>",14
"<U+53CB>",14
"<U+5973>",14
"<U+5B50>",14
"<U+66DC>",14
"<U+6C11>",14
"<U+7121>",14
"<U+FF1F>",14
"<U+0410>",13
"<U+0445>",13
"<U+05DD>",13
"<U+0645>",13
"<U+1F76>",13
"<U+2606>",13
"<U+3054>",13
"<U+30C0>",13
"<U+30C9>",13
"<U+30D3>",13
"<U+30DD>",13
"<U+4EEC>",13
"<U+56FD>",13
"<U+624B>",13
"<U+662F>",13
"<U+9054>",13
"<U+C774>",13
"<U+05E7>",12
"<U+1F10>",12
"<U+266A>",12
"<U+3078>",12
"<U+30C1>",12
"<U+30D5>",12
"<U+4E0A>",12
