"tag","freq"
"<U+FFFD>",66868
"<U+009F>",21566
"<U+0098>",11974
"<U+2665>",4597
"<U+0092>",4353
"<U+0091>",2843
"<U+008D>",2211
"<U+2764>",1899
"<U+008E>",1470
"<U+008A>",1320
"<U+008F>",1250
"<U+0094>",1125
"<U+0082>",1006
"<U+008C>",893
"<U+0089>",892
"<U+0081>",880
"<U+009C>",871
"<U+0099>",870
"<U+263A>",756
"<U+0083>",599
"<U+00B3>",591
"<U+009A>",494
"<U+0097>",466
"<U+0090>",428
"<U+00A4>",410
"<U+2600>",401
"<U+0093>",395
"<U+0084>",388
"<U+0080>",382
"<U+00B1>",382
"<U+00A1>",363
"<U+00AD>",354
"<U+00B6>",353
"<U+00A2>",344
"<U+270C>",344
"<U+00B0>",339
"<U+009D>",315
"<U+009E>",277
"<U+2661>",271
"<U+008B>",256
"<U+2015>",256
"<U+00A5>",252
"<U+E022>",252
"<U+E328>",248
"<U+0096>",234
"<U+00A0>",215
"<U+00B2>",198
"<U+266B>",192
"<U+00AB>",191
"<U+009B>",189
"<U+00A3>",189
"<U+00AA>",184
"<U+00B7>",184
"<U+E056>",183
"<U+0088>",180
"<U+2605>",178
"<U+00B8>",176
"<U+200E>",170
"<U+00A8>",165
"<U+266A>",165
"<U+E00E>",164
"<U+2755>",160
"<U+0087>",150
"<U+E057>",143
"<U+00BB>",140
"<U+266C>",140
"<U+2714>",140
"<U+00A9>",136
"<U+E404>",124
"<U+E106>",119
"<U+E418>",118
"<U+0086>",116
"<U+00BA>",114
"<U+E32D>",114
"<U+E32A>",113
"<U+00B5>",111
"<U+E415>",110
"<U+00A7>",109
"<U+26BE>",108
"<U+00B4>",106
"<U+2614>",102
"<U+2708>",102
"<U+E405>",101
"<U+0336>",100
"<U+2192>",100
"<U+0085>",96
"<U+E412>",94
"<U+E403>",93
"<U+00A6>",91
"<U+E105>",91
"<U+E13C>",90
"<U+E40D>",89
"<U+E40E>",87
"<U+2640>",85
"<U+E411>",75
"<U+E409>",74
"<U+E414>",74
"<U+2752>",72
"<U+30C4>",71
"<U+E402>",66
"<U+270B>",65
"<U+E421>",64
"<U+2728>",63
"<U+2601>",61
"<U+E416>",61
"<U+2639>",60
"<U+00AF>",59
"<U+26A1>",56
"<U+2606>",53
"<U+2615>",53
"<U+E32C>",53
"<U+2730>",52
"<U+E413>",52
"<U+E420>",52
"<U+00AC>",51
"<U+25BA>",51
"<U+E327>",50
"<U+00B9>",48
"<U+3002>",47
"<U+E32B>",46
"<U+00BD>",45
"<U+E107>",45
"<U+E312>",45
"<U+E04A>",43
"<U+E011>",42
"<U+0095>",41
"<U+E41D>",41
"<U+00BC>",40
"<U+314B>",40
"<U+E310>",40
"<U+E113>",39
"<U+00BF>",38
"<U+E023>",38
"<U+E058>",38
"<U+E410>",34
"<U+261D>",32
"<U+270A>",32
"<U+26C4>",31
"<U+E337>",30
"<U+E326>",29
"<U+E41F>",29
"<U+274C>",28
"<U+2754>",28
"<U+3044>",28
"<U+E059>",28
"<U+E406>",28
"<U+E42B>",28
"<U+E12F>",27
"<U+306F>",26
"<U+E112>",26
"<U+200B>",25
"<U+E407>",25
"<U+2611>",24
"<U+261E>",24
"<U+262E>",24
"<U+306E>",24
"<U+E401>",24
"<U+2190>",23
"<U+E00D>",23
"<U+E14C>",23
"<U+E40C>",23
"<U+25C4>",22
"<U+E05A>",22
"<U+E335>",22
"<U+E40A>",22
"<U+00AE>",21
"<U+E329>",21
"<U+00BE>",20
"<U+200F>",20
"<U+26BD>",20
"<U+306A>",20
"<U+E408>",20
"<U+E42A>",20
"<U+25D5>",19
"<U+E13D>",18
"<U+E40F>",18
"<U+03C9>",17
"<U+0430>",17
"<U+2727>",17
"<U+3046>",17
"<U+E00A>",17
"<U+E34B>",17
"<U+3057>",16
"<U+E012>",16
"<U+E108>",16
"<U+30FC>",15
"<U+E30C>",15
"<U+E40B>",15
"<U+03BF>",14
"<U+203F>",14
"<U+2602>",14
"<U+2660>",14
"<U+306B>",14
"<U+E148>",14
"<U+E32E>",14
"<U+FE4F>",14
"<U+2312>",13
"<U+25B2>",13
"<U+260E>",13
"<U+2610>",13
"<U+26F3>",13
"<U+27A1>",13
"<U+2260>",12
"<U+3066>",12
"<U+308A>",12
"<U+E253>",12
"<U+E30A>",12
"<U+E33A>",12
"<U+E419>",12
"<U+FFE3>",12
"<U+03BD>",11
"<U+25AC>",11
"<U+2669>",11
"<U+2702>",11
"<U+2B06>",11
"<U+304B>",11
"<U+3092>",11
"<U+8272>",11
"<U+E016>",11
"<U+E231>",11
"<U+E41E>",11
"<U+0334>",10
"<U+043E>",10
"<U+25BD>",10
"<U+25CF>",10
"<U+27A0>",10
"<U+2B55>",10
"<U+3082>",10
"<U+308B>",10
"<U+E033>",10
"<U+E03E>",10
"<U+E046>",10
"<U+E230>",10
"<U+E429>",10
"<U+0361>",9
"<U+0391>",9
"<U+0394>",9
"<U+03B9>",9
"<U+03C1>",9
"<U+20E3>",9
"<U+2663>",9
"<U+26EA>",9
"<U+2765>",9
"<U+304C>",9
"<U+3068>",9
"<U+3088>",9
"<U+3093>",9
"<U+7684>",9
"<U+E01A>",9
"<U+E043>",9
"<U+E044>",9
"<U+E048>",9
"<U+E04B>",9
"<U+E10E>",9
"<U+E110>",9
"<U+E11B>",9
"<U+E330>",9
"<U+E331>",9
"<U+02D8>",8
"<U+03C2>",8
"<U+03C5>",8
"<U+0CA0>",8
"<U+2033>",8
"<U+25CA>",8
"<U+263B>",8
"<U+2713>",8
"<U+2729>",8
"<U+2B05>",8
"<U+305F>",8
"<U+3067>",8
"<U+3089>",8
"<U+4E00>",8
"<U+4EBA>",8
"<U+6211>",8
"<U+E003>",8
"<U+E032>",8
"<U+E417>",8
"<U+FF89>",8
"<U+FFFC>",8
"<U+02BB>",7
"<U+043B>",7
"<U+0440>",7
"<U+0442>",7
"<U+044F>",7
"<U+26A0>",7
"<U+273F>",7
"<U+3010>",7
"<U+307E>",7
"<U+4E2D>",7
"<U+E036>",7
"<U+E03D>",7
"<U+E04C>",7
"<U+E11A>",7
"<U+E11D>",7
"<U+E13E>",7
"<U+E307>",7
"<U+E31F>",7
"<U+E427>",7
"<U+E51F>",7
"<U+E522>",7
"<U+FB01>",7
"<U+FF61>",7
"<U+02CC>",6
"<U+0438>",6
"<U+0454>",6
"<U+10E6>",6
"<U+2193>",6
"<U+21E8>",6
"<U+2207>",6
"<U+2323>",6
"<U+25B6>",6
"<U+25B8>",6
"<U+2717>",6
"<U+272E>",6
"<U+2B07>",6
"<U+3011>",6
"<U+304D>",6
"<U+3061>",6
"<U+3160>",6
"<U+4F60>",6
"<U+751F>",6
"<U+E014>",6
"<U+E01B>",6
"<U+E03C>",6
"<U+E047>",6
"<U+E049>",6
"<U+E04F>",6
"<U+E052>",6
"<U+E111>",6
"<U+E147>",6
"<U+E301>",6
"<U+E304>",6
"<U+E306>",6
"<U+E30F>",6
"<U+E42D>",6
"<U+E528>",6
"<U+03A0>",5
"<U+03B3>",5
"<U+03B7>",5
"<U+03BB>",5
"<U+20AA>",5
"<U+2191>",5
"<U+2197>",5
"<U+2199>",5
"<U+25BC>",5
"<U+265B>",5
"<U+2666>",5
"<U+26F5>",5
"<U+272F>",5
"<U+304A>",5
"<U+304F>",5
"<U+3059>",5
"<U+308C>",5
"<U+30B9>",5
"<U+30D3>",5
"<U+30F3>",5
"<U+30FE>",5
"<U+314E>",5
"<U+65E5>",5
"<U+8D77>",5
"<U+D558>",5
"<U+E018>",5
"<U+E01D>",5
"<U+E035>",5
"<U+E054>",5
"<U+E115>",5
"<U+E11C>",5
"<U+E120>",5
"<U+E131>",5
"<U+E13B>",5
"<U+E142>",5
"<U+E31D>",5
"<U+E31E>",5
"<U+E322>",5
"<U+E334>",5
"<U+E345>",5
"<U+E423>",5
"<U+E425>",5
"<U+E428>",5
"<U+E437>",5
"<U+E448>",5
"<U+E51A>",5
"<U+E520>",5
"<U+E52A>",5
"<U+E52C>",5
"<U+E662>",5
"<U+F8FF>",5
"<U+01AA>",4
"<U+0259>",4
"<U+02C7>",4
"<U+0328>",4
"<U+032E>",4
"<U+0360>",4
"<U+03AC>",4
"<U+043D>",4
"<U+0441>",4
"<U+062A>",4
"<U+0639>",4
"<U+0644>",4
"<U+0645>",4
"<U+0648>",4
"<U+21E6>",4
"<U+21E7>",4
"<U+2202>",4
"<U+2206>",4
"<U+2266>",4
"<U+2267>",4
"<U+2299>",4
"<U+24C9>",4
"<U+25E1>",4
"<U+2642>",4
"<U+2668>",4
"<U+272C>",4
"<U+272D>",4
"<U+2751>",4
"<U+2763>",4
"<U+2766>",4
"<U+305D>",4
"<U+3063>",4
"<U+3069>",4
"<U+3070>",4
"<U+30AF>",4
"<U+30BF>",4
"<U+4F1A>",4
"<U+51FA>",4
"<U+53E3>",4
"<U+53EF>",4
"<U+5728>",4
"<U+591A>",4
"<U+5927>",4
"<U+5B50>",4
"<U+6587>",4
"<U+B2C8>",4
"<U+B2E4>",4
"<U+E002>",4
"<U+E006>",4
"<U+E04E>",4
"<U+E12A>",4
"<U+E130>",4
"<U+E132>",4
"<U+E13F>",4
"<U+E252>",4
"<U+E30E>",4
"<U+E33B>",4
"<U+E347>",4
"<U+E41C>",4
"<U+E42E>",4
"<U+E43F>",4
"<U+E443>",4
"<U+E50C>",4
"<U+E51C>",4
"<U+E523>",4
"<U+E526>",4
"<U+E536>",4
"<U+FF1F>",4
"<U+0283>",3
"<U+039A>",3
"<U+03AF>",3
"<U+03BA>",3
"<U+03E1>",3
"<U+0432>",3
"<U+0435>",3
"<U+043A>",3
"<U+043F>",3
"<U+05D5>",3
"<U+05DC>",3
"<U+0627>",3
"<U+062C>",3
"<U+0631>",3
"<U+0635>",3
"<U+064A>",3
"<U+1D31>",3
"<U+203D>",3
"<U+21AA>",3
"<U+21AB>",3
"<U+21AF>",3
"<U+21B1>",3
"<U+21B2>",3
"<U+21B4>",3
"<U+21B6>",3
"<U+2208>",3
"<U+22C6>",3
"<U+2318>",3
"<U+24C1>",3
"<U+24C4>",3
"<U+256F>",3
"<U+2570>",3
"<U+25C0>",3
"<U+261B>",3
"<U+261C>",3
"<U+261F>",3
"<U+2620>",3
"<U+262D>",3
"<U+262F>",3
"<U+263E>",3
"<U+2649>",3
"<U+2655>",3
"<U+26FA>",3
"<U+2705>",3
"<U+271E>",3
"<U+2767>",3
"<U+3001>",3
"<U+3042>",3
"<U+3051>",3
"<U+3053>",3
"<U+3055>",3
"<U+305A>",3
"<U+3060>",3
"<U+3064>",3
"<U+3073>",3
"<U+3087>",3
"<U+308F>",3
"<U+30A2>",3
"<U+30A3>",3
"<U+30A4>",3
"<U+30AB>",3
"<U+30AD>",3
"<U+30B7>",3
"<U+30C3>",3
"<U+30C6>",3
"<U+30C8>",3
"<U+30CB>",3
"<U+30CD>",3
"<U+30D0>",3
"<U+4E0A>",3
"<U+516B>",3
"<U+5350>",3
"<U+53BB>",3
"<U+5931>",3
"<U+6301>",3
"<U+662F>",3
"<U+6642>",3
"<U+672C>",3
"<U+6B63>",3
"<U+706B>",3
"<U+75F4>",3
"<U+76F4>",3
"<U+79C1>",3
"<U+7A1A>",3
"<U+8005>",3
"<U+82B8>",3
"<U+884C>",3
"<U+8981>",3
"<U+8C22>",3
"<U+90E8>",3
"<U+9B3C>",3
"<U+9E23>",3
"<U+AC10>",3
"<U+C0AC>",3
"<U+E004>",3
"<U+E007>",3
"<U+E019>",3
"<U+E041>",3
"<U+E050>",3
"<U+E055>",3
"<U+E103>",3
"<U+E104>",3
"<U+E10C>",3
"<U+E117>",3
"<U+E15A>",3
"<U+E20C>",3
